item,itemLabel,startDate,endDate,psid
Q102198648,Miguel Prado de los Santos,2021-09-01,,Q102198648-BE3F6C28-2F92-4BA1-A545-C66A4422C4BA
Q104520970,Karen Castrejón Trujillo,2021-09-01,,Q104520970-9C5328D5-7863-4AF7-8703-751A035E13D8
Q105902317,Hirepan Maya Martínez,2021-09-01,,Q105902317-76197ED7-1E92-4390-8D5C-2D357A86913E
Q106430171,Lizbeth Mata Lozano,2021-09-01,,Q106430171-96648EF0-4707-43DA-BCA9-F8A52D7DD87D
Q106564661,Raquel Bonilla Herrera,2021-09-01,,Q106564661-62BD0CC6-4AD1-43FF-BB8B-A1C46841A2DD
Q106570297,Mary Carmen Bernal Martínez,2021-09-01,,Q106570297-3FE7433F-14CB-4684-897A-3C1C6B26F05F
Q106734335,Roberto Rubio Montejo,2021-09-01,,Q106734335-FF7B7DC8-3A8B-4D16-8A06-D7C80703D31E
Q107159571,Luis Mendoza Acevedo,2021-09-01,,Q107159571-08B549FC-5F66-4ACA-BACD-BE2D5347811B
Q107278832,Rosa María González Azcárraga,2021-09-01,,Q107278832-405D432D-C2C1-4A09-9D32-1FCC6F4B18AD
Q107283364,Erasmo González Robledo,2021-09-01,,Q107283364-E709B6FD-2E88-4997-BB87-FF28D9FBABB3
Q107292345,Juan Francisco Espinoza Eguia,2021-09-01,,Q107292345-01AC5A25-FACD-429F-89D0-3BFE89360DC6
Q107365691,Cecilia Patrón Laviada,2021-09-01,,Q107365691-F7986501-08D3-48B9-872E-1BBC1C705F4B
Q107379567,Salma Luévano,2021-09-01,,Q107379567-6e518b4c-486a-5957-a8b2-0f9ce73ba428
Q107610414,Michel González Márquez,2021-09-01,,Q107610414-047FC2B8-1703-43F6-A2BD-AA61ED71DBD7
Q108207798,Francisco Javier Huacus Esquivel,2021-09-01,,Q108207798-7BD89A0B-474B-4AC5-BEAF-48413618B395
Q108292858,Juanita Guerra Mena,2021-09-01,,Q108292858-ED4EA2B1-7D47-4EC5-B822-977BD1336A32
Q108302289,Janicie Contreras García,2021-09-01,,Q108302289-CA485C36-3704-42D3-9A73-44351EA0518F
Q108311009,Rocío González Alonso,2021-09-01,,Q108311009-ff3ccf32-480d-81bc-50ca-e7af9585e3da
Q108353214,María Clemente García,2021-09-01,,Q108353214-D725C6CC-991F-41BC-816D-F86C2E599AE1
Q108648015,Armando Reyes Ledesma,2021-09-01,,Q108648015-C4B791C9-5AA2-41E2-A396-AF5809A417FA
Q108703639,Annia Gómez Cárdenas,2021-09-01,,Q108703639-42CB8CED-2A17-4FF2-AEDF-7DD48250FEC4
Q108791841,Gustavo Contreras Montes,2021-09-01,,Q108791841-41D0372D-817C-4591-ADC7-ED773CBE2108
Q108871819,Mario Rafael Llergo Latournerie,2021-09-01,,Q108871819-D4BD6312-0C1A-46D4-881B-CB46985E38BF
Q108881795,Merary Villegas Sánchez,2021-09-01,,Q108881795-13FF4239-A79E-4387-9C9F-4A2B737BA3F4
Q109252839,Rosa María Bayardo Cabrera,2021-09-01,,Q109252839-0E2F5C63-99EF-4714-A19B-1F9619C97E84
Q109405283,Gabriela Martínez Espinoza,2021-09-01,,Q109405283-51F9463D-6F0A-4FE7-80C5-34EB4A2453DD
Q109405909,Gabriela Sodi Miranda,2021-09-01,,Q109405909-7297DED7-D94D-4375-BDC3-243033A1A138
Q109410373,Wendy González Urrutia,2021-09-01,,Q109410373-D106A094-2E54-4E91-B545-C0339A3839DF
Q109417418,María Teresa Castell,2021-09-01,,Q109417418-8A0CFC26-BB4A-45F6-AC32-026190D5676A
Q109429266,Guadalupe Alcántara Rojas,2021-09-01,,Q109429266-0fb6fe1f-4479-88ab-bf7a-8bb14ed0a20b
Q109523798,María del Carmen Zúñiga Cuevas,2021-09-01,,Q109523798-78C58693-5888-4038-A5BD-C6F5B46BA29D
Q109551163,Noel Mata Atilano,2021-09-01,,Q109551163-71A9F696-8308-4673-A13C-407283FE0BCF
Q109726207,Andrea Chávez Treviño,2021-09-01,,Q109726207-71C05A55-169E-4840-A2DD-6CF842D19F3E
Q109727910,Victoriano Wences Real,2021-09-01,,Q109727910-B6257C0C-F526-46D9-9C11-C88D07B1630B
Q110025776,Lázaro Jiménez Aquino,2021-09-01,,Q110025776-ED9CDD2B-626C-4E95-B4B3-D228899A276B
Q110094073,Elizabeth Pérez Valdez,2021-09-01,,Q110094073-1915CD2C-A2C4-43C9-B57D-E9297C31BA47
Q110101765,Karla Ayala Villalobos,2021-09-01,,Q110101765-07EBDD5C-EB77-48A6-872F-926845C9539E
Q110220397,Sayonara Vargas Rodríguez,2021-09-01,,Q110220397-471665BC-25A9-402E-A63A-F9E2CB6EC025
Q110220626,Karla María Rabelo Estrada,2021-09-01,,Q110220626-047be17c-44ab-20d2-d67f-3c0e902e597f
Q110228406,Alejandro Segovia Hernández,2021-09-01,,Q110228406-E94B6275-7390-4788-AC89-C96F46DC2CFC
Q110231724,Bennelly Hernández Ruedas,2021-09-01,,Q110231724-8FCA1314-F390-4916-9220-AA13124B9005
Q110256252,Anahí González Hernández,2021-09-01,,Q110256252-08F1C089-6B77-4428-9083-4BC5FEE25C92
Q110256528,Sandra Olvera Bautista,2021-09-01,,Q110256528-18B2C886-9E1F-4FE4-ADA3-B9F4D008E713
Q110262869,Mauricio Cantú,2021-09-01,,Q110262869-42E575FD-832C-4C50-BD54-328B27B02B6F
Q110402188,Guadalupe Chavira de la Rosa,2021-09-01,,Q110402188-62974DBC-9ABB-4DB9-AAB5-AB3E26F267A2
Q110416375,Daniela Álvarez Hernández,2021-09-01,,Q110416375-C692BB8C-D8AE-44C2-8C5A-899BC0FC6D6F
Q110497511,Gerardo Peña Flores,2021-09-01,,Q110497511-228B715D-3182-4256-8CF1-F0E2A43835BA
Q110771804,Reynel Rodríguez Muñoz,2021-09-01,,Q110771804-365DB476-54A3-4589-9FC6-EFEE774DD78F
Q11686406,Juan Carlos Romero Hicks,2021-09-01,,Q11686406-0FB3DF6B-DE7E-4109-B72C-E47B6FBCDDBD
Q12177552,Justino Arriaga Rojas,2021-09-01,,Q12177552-0DE05E41-527A-4FA1-9D87-C9D3D3EB8BE3
Q14845955,Benjamín Robles Montoya,2021-09-01,,Q14845955-50B1A304-42F1-4883-B98A-D0899794B689
